caseNumber ,startDate       ,endDate         ,Fre   ,startDate_update ,endDate_update  ,bad_data ,k_value ,sensor_selection,delay2,delay3,mode1_SSI,mode1_seq,mode2_SSI,mode2_seq,mode3_SSI,mode3_seq,mode4_SSI,mode4_seq,mode5_SSI,mode5_seq,mode6_SSI,mode6_seq,mode7_SSI,mode7_seq
1          ,1/16/2013 3:00  ,1/16/2013 5:00  ,0.328 ,1/15/2013 2:45   ,1/15/2013 3:15  ,0        ,17      ,1;2;3;4;5;6     ,0     ,0     ,0        ,0        ,42       ,3        ,42       ,4        ,49       ,5        ,0        ,0        ,33       ,7        ,50       ,8
2          ,1/22/2013 2:00  ,1/22/2013 4:00  ,0.329 ,1/21/2013 4:40   ,1/21/2013 5:10  ,0        ,16      ,2;4;5;6         ,0     ,0     ,41       ,1        ,41       ,2        ,41       ,3        ,40       ,4        ,30       ,5        ,41       ,6        ,40       ,7
3          ,2/6/2013 0:00   ,2/6/2013 3:00   ,0.328 ,2/4/2013 23:15   ,2/4/2013 23:45  ,0        ,14      ,1;2;3;4;6       ,0     ,0     ,38       ,2        ,38       ,3        ,48       ,4        ,48       ,5        ,49       ,6        ,49       ,7        ,45       ,8
4          ,3/6/2013 18:00  ,3/6/2013 20:00  ,0.327 ,3/4/2013 11:05   ,3/4/2013 11:35  ,0        ,17      ,1;2;3;4;5;6     ,0     ,0     ,33       ,2        ,38       ,3        ,44       ,4        ,0        ,0        ,44       ,5        ,40       ,6        ,47       ,7
5          ,4/3/2013 15:00  ,4/3/2013 17:00  ,0.326 ,4/2/2013 23:40   ,4/3/2013 0:10   ,0        ,23      ,1;2;4;5;6       ,0     ,0     ,40       ,2        ,40       ,3        ,48       ,4        ,49       ,5        ,40       ,6        ,44       ,7        ,43       ,8
6          ,4/10/2013 19:00 ,4/10/2013 22:00 ,0.327 ,4/10/2013 5:45   ,4/10/2013 6:15  ,0        ,22      ,1;3;4;6         ,0.2   ,0.4   ,40       ,2        ,40       ,3        ,40       ,4        ,40       ,5        ,50       ,6        ,45       ,7        ,36       ,8
7          ,5/19/2013 11:00 ,5/19/2013 13:00 ,0.325 ,5/18/2013 17:55  ,5/18/2013 18:25 ,0        ,20      ,1;2;3;4;5;6     ,-0.4  ,-0.2  ,40       ,2        ,40       ,3        ,49       ,4        ,49       ,5        ,37       ,6        ,47       ,7        ,48       ,8
8          ,5/21/2013 18:00 ,5/21/2013 20:00 ,0.326 ,5/19/2013 20:13  ,5/19/2013 20:20 ,0        ,20      ,2;4;5;6         ,0.2   ,-0.2  ,40       ,1        ,40       ,2        ,40       ,3        ,0        ,0        ,45       ,5        ,49       ,6        ,49       ,7
9          ,7/9/2013 17:00  ,7/9/2013 18:00  ,0.326 ,7/6/2013 3:00    ,7/6/2013 3:45   ,0        ,22      ,1;2;3;5;6       ,0     ,0     ,40       ,2        ,40       ,3        ,30       ,3        ,49       ,5        ,47       ,6        ,50       ,7        ,50       ,8
10         ,8/1/2013 12:00  ,8/1/2013 16:00  ,0.325 ,7/29/2013 8:55   ,7/29/2013 9:25  ,0        ,21      ,1;2;3;4;5;6     ,0     ,0     ,48       ,2        ,50       ,3        ,39       ,4        ,46       ,5        ,46       ,6        ,34       ,7        ,42       ,8
11         ,8/2/2013 22:00  ,8/3/2013 0:00   ,0.326 ,8/1/2013 21:20   ,8/1/2013 21:50  ,0        ,18      ,1;2;3;5         ,-0.2  ,0     ,40       ,2        ,47       ,3        ,39       ,4        ,47       ,5        ,44       ,6        ,41       ,7        ,44       ,8
